national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description
221,II,Piloswine,Inomoo,ice,ground,Swine Pokémon,50.2,49.8,1.1,55.8,75,5120,100,100,80,60,60,50,Oblivious,Snow Cloak,,Thick Fat,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,,,,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
222,II,Corsola,Sunnygo,water,rock,Coral Pokémon,24.9,75.1,0.6,5,60,5120,65,55,95,65,95,35,Hustle,Natural Cure,,Regenerator,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,0,0,0,Corsola,Level 38,Cursola,,,,,,,,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
223,II,Remoraid,Teppouo,water,,Jet Pokémon,50.2,49.8,0.6,12,190,5120,35,65,35,65,35,65,Hustle,Sniper,,Moody,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Remoraid,Level ,Octillery,,,,,,,,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
224,II,Octillery,Okutank,water,,Jet Pokémon,50.2,49.8,0.9,28.5,75,5120,75,105,75,105,75,45,Suction Cups,Sniper,,Moody,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Remoraid,Level ,Octillery,,,,,,,,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
225,II,Delibird,Delibird,ice,flying,Delivery Pokémon,50.2,49.8,0.9,16,45,5120,45,55,45,65,45,75,Vital Spirit,Hustle,,Insomnia,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,0,0,0,Delibird,,,,,,,,,,It carries food all day long. There are tales about lost people who were saved by the food it had.
226,II,Mantine,Mantain,water,flying,Kite Pokémon,50.2,49.8,2.1,220,25,6400,85,40,70,80,140,70,Swift Swim,Water Absorb,,Water Veil,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0,0,0,Mantyke,Level up with Remoraid in the party,Mantine,,,,,,,,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet."
227,II,Skarmory,Airmd,steel,flying,Armor Bird Pokémon,50.2,49.8,1.7,50.5,25,6400,65,80,140,40,70,70,Keen Eye,Sturdy,,Weak Armor,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,0,0,0,Skarmory,,,,,,,,,,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.
228,II,Houndour,Delvil,dark,fire,Dark Pokémon,50,50,0.6,10.8,120,5120,45,60,30,80,50,65,Early Bird,Flash Fire,,Unnerve,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,0,0,0,Houndour,Level ,Houndoom,,,,,,,,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders."
229,II,Houndoom,Hellgar,dark,fire,Dark Pokémon,50,50,1.4,35,45,5120,75,90,50,110,80,95,Early Bird,Flash Fire,,Unnerve,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,0,0,0,Houndour,Level ,Houndoom,,,,,,Mega Houndoom,,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.
230,II,Kingdra,Kingdra,water,dragon,Dragon Pokémon,50.2,49.8,1.8,152,45,5120,75,95,95,95,95,85,Swift Swim,Sniper,,Damp,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,0,0,0,Horsea,Level ,Seadra,Trade with  Dragon Scale,Kingdra,,,,,,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues."
231,II,Phanpy,Gomazou,ground,,Long Nose Pokémon,50,50,0.5,33.5,120,5120,90,60,60,40,40,40,Pickup,,,Sand Veil,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Phanpy,Level ,Donphan,,,,,,,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
232,II,Donphan,Donfan,ground,,Armor Pokémon,50,50,1.1,120,60,5120,90,120,120,60,60,50,Sturdy,,,Sand Veil,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Phanpy,Level ,Donphan,,,,,,,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily."
233,II,Porygon2,Porygon2,normal,,Virtual Pokémon,,,0.6,32.5,45,5120,85,80,90,105,95,60,Trace,Download,,Analytic,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,,,,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.
234,II,Stantler,Odoshishi,normal,,Big Horn Pokémon,50,50,1.4,71.2,45,5120,73,95,62,85,65,85,Intimidate,Frisk,,Sap Sipper,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Stantler,,,,,,,,,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
235,II,Smeargle,Doble,normal,,Painter Pokémon,50,50,1.2,58,45,5120,55,20,35,20,45,75,Own Tempo,Technician,,Moody,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Smeargle,,,,,,,,,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.
236,II,Tyrogue,Balkie,fighting,,Scuffle Pokémon,100,0,0.7,21,75,6400,35,35,35,35,35,35,Guts,Steadfast,,Vital Spirit,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Tyrogue,Attack < Defence at Level 20,Hitmonchan,Attack > Defence at Level 20,Hitmonlee,Attack = Defence at Level 20,Hitmontop,,,,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
237,II,Hitmontop,Kapoerer,fighting,,Handstand Pokémon,100,0,1.4,48,45,6400,50,95,95,35,110,70,Intimidate,Technician,,Steadfast,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Tyrogue,Attack = Defence at Level 20,Hitmontop,,,,,,,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
238,II,Smoochum,Muchul,ice,psychic,Kiss Pokémon,0,100,0.4,6,45,6400,45,30,15,85,65,65,Oblivious,Forewarn,,Hydration,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,0,0,0,Smoochum,Level ,Jynx,,,,,,,,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care."
239,II,Elekid,Elekid,electric,,Electric Pokémon,75.49,24.51,0.6,23.5,45,6400,45,63,37,65,55,95,Static,,,Vital Spirit,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Elekid,Level ,Electabuzz,Trade with  Electirizer,Electivire,,,,,,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy."
240,II,Magby,Buby,fire,,Live Coal Pokémon,75.49,24.51,0.7,21.4,45,6400,45,75,37,70,55,83,Flame Body,,,Vital Spirit,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,,,,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose."
241,II,Miltank,Miltank,normal,,Milk Cow Pokémon,0,100,1.2,75.5,45,5120,95,80,105,40,70,100,Thick Fat,Scrappy,,Sap Sipper,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Miltank,,,,,,,,,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times."
242,II,Blissey,Happinas,normal,,Happiness Pokémon,0,100,1.5,46.8,30,10240,255,10,10,75,135,55,Natural Cure,Serene Grace,,Healer,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Happiny,Level up during day while holding Oval Stone,Chansey,Level Up with Happiness Value at 220,Blissey,,,,,,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better."
243,II,Raikou,Raikou,electric,,Thunder Pokémon,,,1.9,178,3,20480,90,85,75,115,100,115,Pressure,,,Inner Focus,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1,0,0,Raikou,,,,,,,,,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
244,II,Entei,Entei,fire,,Volcano Pokémon,,,2.1,198,3,20480,115,115,85,90,75,100,Pressure,,,Inner Focus,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1,0,0,Entei,,,,,,,,,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
245,II,Suicune,Suicune,water,,Aurora Pokémon,,,2,187,3,20480,100,75,115,90,115,85,Pressure,,,Inner Focus,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0,0,Suicune,,,,,,,,,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
246,II,Larvitar,Yogiras,rock,ground,Rock Skin Pokémon,50.2,49.8,0.6,72,45,10240,50,64,50,45,50,41,Guts,,,Sand Veil,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,,,,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
247,II,Pupitar,Sanagiras,rock,ground,Hard Shell Pokémon,50.2,49.8,1.2,152,45,10240,70,84,70,65,70,51,Shed Skin,,,,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,,,,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
248,II,Tyranitar,Bangiras,rock,dark,Armor Pokémon,50.2,49.8,2,202,45,10240,100,134,110,95,100,61,Sand Stream,,,Unnerve,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,0,0,0,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,,Mega Tyranitar,,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
249,II,Lugia,Lugia,psychic,flying,Diving Pokémon,,,5.2,216,3,30720,106,90,130,90,154,110,Pressure,,,Multiscale,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0,1,0,Lugia,,,,,,,,,,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
250,II,Ho-Oh,Houou,fire,flying,Rainbow Pokémon,,,3.8,199,3,30720,106,130,90,110,154,90,Pressure,,,Regenerator,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,0,1,0,Ho-Oh,,,,,,,,,,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
251,II,Celebi,Celebi,psychic,grass,Time Travel Pokémon,,,0.6,5,45,30720,100,100,100,100,100,100,Natural Cure,,,,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,0,0,1,Celebi,,,,,,,,,,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us."
252,III,Treecko,Kimori,grass,,Wood Gecko Pokémon,88.14,11.86,0.5,5,45,5120,40,45,35,65,55,70,Overgrow,,,Unburden,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Treecko,Level ,Grovyle,Level ,Sceptile,,,,,,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.
253,III,Grovyle,Juptile,grass,,Wood Gecko Pokémon,88.14,11.86,0.9,21.6,45,5120,50,65,45,85,65,95,Overgrow,,,Unburden,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Treecko,Level ,Grovyle,Level ,Sceptile,,,,,,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.
254,III,Sceptile,Jukain,grass,,Forest Pokémon,88.14,11.86,1.7,52.2,45,5120,70,85,65,105,85,120,Overgrow,,,Unburden,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Treecko,Level ,Grovyle,Level ,Sceptile,,,,Mega Sceptile,,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.
255,III,Torchic,Achamo,fire,,Chick Pokémon,88.14,11.86,0.4,2.5,45,5120,45,60,40,70,50,45,Blaze,,,Speed Boost,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Torchic,Level ,Combusken,Level ,Blaziken,,,,,,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black."
256,III,Combusken,Wakasyamo,fire,fighting,Young Fowl Pokémon,88.14,11.86,0.9,19.5,45,5120,60,85,60,85,60,55,Blaze,,,Speed Boost,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,0,0,0,Torchic,Level ,Combusken,Level ,Blaziken,,,,,,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second."
257,III,Blaziken,Bursyamo,fire,fighting,Blaze Pokémon,88.14,11.86,1.9,52,45,5120,80,120,70,110,70,80,Blaze,,,Speed Boost,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,0,0,0,Torchic,Level ,Combusken,Level ,Blaziken,,,,Mega Blaziken,,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn."
258,III,Mudkip,Mizugorou,water,,Mud Fish Pokémon,88.14,11.86,0.4,7.6,45,5120,50,70,50,50,50,40,Torrent,,,Damp,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Mudkip,Level ,Marshtomp,Level ,Swampert,,,,,,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes."
259,III,Marshtomp,Numacraw,water,ground,Mud Fish Pokémon,88.14,11.86,0.7,28,45,5120,70,85,70,60,70,50,Torrent,,,Damp,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Mudkip,Level ,Marshtomp,Level ,Swampert,,,,,,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low."
260,III,Swampert,Laglarge,water,ground,Mud Fish Pokémon,88.14,11.86,1.5,81.9,45,5120,100,110,90,85,90,60,Torrent,,,Damp,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Mudkip,Level ,Marshtomp,Level ,Swampert,,,,Mega Swampert,,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.
261,III,Poochyena,Pochiena,dark,,Bite Pokémon,50,50,0.5,13.6,255,3840,35,55,35,30,30,35,Run Away,Quick Feet,,Rattled,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,0,Poochyena,Level ,Mightyena,,,,,,,,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
262,III,Mightyena,Graena,dark,,Bite Pokémon,50,50,1,37,127,3840,70,90,70,60,60,70,Intimidate,Quick Feet,,Moxie,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,0,Poochyena,Level ,Mightyena,,,,,,,,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.
263,III,Zigzagoon,Jiguzaguma,normal,dark,Tiny Racoon Pokémon,50.2,49.8,0.4,17.5,255,3840,38,30,41,30,41,60,Pickup,Gluttony,,Quick Feet,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Zigzagoon,Level,Linoone,Level 35 at Night,,,,,,,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.
264,III,Linoone,Massuguma,normal,dark,Rush Pokémon,50.2,49.8,0.5,32.5,90,3840,78,70,61,50,61,100,Pickup,Gluttony,,Quick Feet,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Zigzagoon,Level,Linoone,Level 35 at Night,,,,,,,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.
265,III,Wurmple,Kemusso,bug,,Worm Pokémon,50,50,0.3,3.6,255,3840,45,45,35,20,30,20,Shield Dust,,,Run Away,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,,,,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping."
266,III,Silcoon,Karasalis,bug,,Cocoon Pokémon,50,50,0.6,10,120,3840,50,35,55,25,25,15,Shed Skin,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,,,,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
267,III,Beautifly,Agehunt,bug,flying,Butterfly Pokémon,50,50,1,28.4,45,3840,60,70,50,100,50,65,Swarm,,,Rivalry,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,,,,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen."
268,III,Cascoon,Mayuld,bug,,Cocoon Pokémon,50,50,0.7,11.5,120,3840,50,35,55,25,25,15,Shed Skin,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,,,,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon."
269,III,Dustox,Dokucale,bug,poison,Poison Moth Pokémon,50,50,1.2,31.6,45,3840,60,50,70,50,90,65,Shield Dust,,,Compound Eyes,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,,,,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
270,III,Lotad,Hassboh,water,grass,Water Weed Pokémon,50.2,49.8,0.5,2.6,255,3840,40,30,30,40,50,30,Swift Swim,Rain Dish,,Own Tempo,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,0,0,0,Lotad,Level ,Lombre,Use Water Stone,Ludicolo,,,,,,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
271,III,Lombre,Hasubrero,water,grass,Jolly Pokémon,50.2,49.8,1.2,32.5,120,3840,60,50,50,60,70,50,Swift Swim,Rain Dish,,Own Tempo,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,0,0,0,Lotad,Level ,Lombre,Use Water Stone,Ludicolo,,,,,,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.
272,III,Ludicolo,Runpappa,water,grass,Carefree Pokémon,50.2,49.8,1.5,55,45,3840,80,70,70,90,100,70,Swift Swim,Rain Dish,,Own Tempo,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,0,0,0,Lotad,Level ,Lombre,Use Water Stone,Ludicolo,,,,,,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful."
273,III,Seedot,Taneboh,grass,,Acorn Pokémon,50.2,49.8,0.5,4,255,3840,40,40,50,30,30,30,Chlorophyll,Early Bird,,Pickpocket,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Seedot,Level ,Nuzleaf,Use Leaf Stone,Shiftry,,,,,,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon."
274,III,Nuzleaf,Konohana,grass,dark,Wily Pokémon,50.2,49.8,1,28,120,3840,70,70,40,60,40,60,Chlorophyll,Early Bird,,Pickpocket,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,0,0,0,Seedot,Level ,Nuzleaf,Use Leaf Stone,Shiftry,,,,,,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
275,III,Shiftry,Dirteng,grass,dark,Wickid Pokémon,50.2,49.8,1.3,59.6,45,3840,90,100,60,90,60,80,Chlorophyll,Early Bird,,Pickpocket,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,0,0,0,Seedot,Level ,Nuzleaf,Use Leaf Stone,Shiftry,,,,,,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.
276,III,Taillow,Subame,normal,flying,TinySwallow Pokémon,50,50,0.3,2.3,200,3840,40,55,30,30,30,85,Guts,,,Scrappy,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Taillow,Level ,Swellow,,,,,,,,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
277,III,Swellow,Ohsubame,normal,flying,Swallow Pokémon,50,50,0.7,19.8,45,3840,60,85,60,75,50,125,Guts,,,Scrappy,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Taillow,Level ,Swellow,,,,,,,,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape."
278,III,Wingull,Camome,water,flying,Seagull Pokémon,50.2,49.8,0.6,9.5,190,5120,40,30,30,55,30,85,Keen Eye,Hydration,,Rain Dish,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0,0,0,Wingull,Level ,Pelipper,,,,,,,,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies."
279,III,Pelipper,Pelipper,water,flying,Water Bird Pokémon,50.2,49.8,1.2,28,45,5120,60,50,100,95,70,65,Keen Eye,Drizzle,,Rain Dish,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0,0,0,Wingull,Level ,Pelipper,,,,,,,,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
280,III,Ralts,Ralts,psychic,fairy,Feeling Pokémon,50.2,49.8,0.4,6.6,235,5120,28,25,25,45,35,40,Synchronize,Trace,,Telepathy,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0,0,0,Ralts,Level,Kirlia,Level,Gardevoir,"On Male Pokémon, use Dawn Stone",Gallade,,,,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.
